country,city,lat,lon,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,population,total_city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
mexico,coatzacoalcos,18.1344779,-94.4589858,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,287285,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
iran,rasht,37.2682177,49.5891233,Asia,Southern Asia,Developing economies,21011,1.70E+12,0.797,-0.158038,679995,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
israel,tel aviv-yafo,32.049357,34.758355,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,441379,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,issaquah,47.5301011,-122.0326191,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,37487,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
south korea,asan-si,36.789796,127.0018494,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,franklin township,40.497604,-74.4884868,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,29633,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,lebanon,40.3409251,-76.4113497,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,77973,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
brazil,campos dos goytacazes,-21.7587303,-41.3267187,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,487186,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
chile,punta arenas,-53.1638329,-70.9170683,Americas,South America,Developing economies,24249,4.48E+11,0.847,0.0443139,124169,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
malaysia,muar,2.0630519,102.5848717,Asia,South-eastern Asia,Developing economies,30004,9.33E+11,0.804,0.971372,191346,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
south korea,busan,35.1365596,129.084364,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,3428923,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,clarksville,36.5297706,-87.3594528,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,150287,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,leonardtown,38.291238,-76.6357942,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6113,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
colombia,fusagasuga,4.345152,-74.361823,Americas,South America,Developing economies,14507,7.09E+11,0.761,0.144356,142426,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
canada,prince george,53.9170641,-122.7496693,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,65558,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
argentina,san nicolas de los arroyos,-33.3334669,-60.2110494,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,127742,5,NA,NA,NA,NA,NA,NA,NA,NA,1,4
united states,babson park,27.8319708,-81.5222974,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,glendora,34.1361187,-117.865339,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,52445,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
dominican republic,santiago de los caballeros,19.4791963,-70.6930568,Americas,Caribbean,Developing economies,16452,1.73E+11,0.745,-0.363374,739631,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
thailand,pattaya city,12.9235557,100.8824551,Asia,South-eastern Asia,Developing economies,17917,1.24E+12,0.765,0.711704,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,oro valley,32.3909071,-110.966488,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,44350,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
argentina,juana koslay,-33.31666,-66.61666,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
turkey,bakurkazy,40.9831984,28.8536084,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,"NA",2,NA,NA,NA,NA,NA,NA,NA,1,1,NA
chile,los angeles,-37.4629159,-72.3612251,Americas,South America,Developing economies,24249,4.48E+11,0.847,0.0443139,128933,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,kota,25.2138156,75.8647527,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,827000,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2
united states,moorhead,46.8737648,-96.7678039,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,43122,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA
united states,fort davis,30.5882111,-103.8946253,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
armenia,aparan,40.5922068,44.3574379,Asia,Western Asia,Transition economies,9621,28331472880,0.76,"NA","NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
bahrain,isa town,26.1649885,50.5653065,Asia,Western Asia,Developing economies,47660,71208283858,0.838,"NA","NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,syosset,40.8262101,-73.502068,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,19669,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
turkey,kocaeli,40.8532704,29.8815203,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,466504,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
thailand,hat yai,7.0086472,100.4746879,Asia,South-eastern Asia,Developing economies,17917,1.24E+12,0.765,0.711704,317954,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,pittsburgh,40.4727345,-79.9586068,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,303625,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,kokomo,40.486427,-86.1336033,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,79099,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,los angeles,34.165357,-118.6089752,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,3884307,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
japan,"onna-son, kunigam",26.4610694,127.8118408,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
lebanon,bcharre,34.3,36.116667,Asia,Western Asia,Developing economies,12814,87286452031,0.73,0.0803256,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
india,munnar,10.0889333,77.0595248,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,dobbs ferry,41.0145418,-73.872635,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,11147,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,harrisburg,40.2731911,-76.8867008,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,441580,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
canada,caledon,43.8363372,-79.8744836,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
brazil,nova lima,-20.1089859,-43.9055155,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,88399,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,uran islampur,17.0499403,74.2652471,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
argentina,concepcian del uruguay,-32.4845349,-58.2321416,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,67895,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,la crescenta-montrose,34.228754,-118.2351192,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,19658,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
argentina,belen heredia,-34.5012257,-58.5671668,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,grove city,39.8814519,-83.0929644,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,41022,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,cartersville,34.1650972,-84.7999382,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,55794,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,nashik,19.9974533,73.7898023,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,1473000,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,wildwood,38.9917797,-74.8148894,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,35501,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
india,aligarh,27.8973944,78.0880129,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,805000,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2
india,manali,32.2396325,77.1887145,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,meerut,28.9844618,77.7064137,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,1398000,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
united states,coeur d'alene,47.6734632,-116.7812225,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,112935,3,NA,NA,NA,NA,NA,NA,NA,1,1,1
united states,howell township,40.1645785,-74.2082671,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,52076,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
hong kong,hong kong island,22.220422,114.2126685,Asia,Eastern Asia,Developing economies,61500,4.56E+11,"NA","NA",1252100,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
thailand,ubon ratchathani,15.2448453,104.8472995,Asia,South-eastern Asia,Developing economies,17917,1.24E+12,0.765,0.711704,273893,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
china,weifang,36.706962,119.161748,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,1553000,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
mexico,zacatecas,22.7705359,-102.5685297,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,234481,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,zionsville,39.9508733,-86.261937,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,26710,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,irvington,41.0391,-73.867,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,54715,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
china,suzhou,31.385597,120.980736,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,6703000,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,east hampton,42.266757,-72.66898,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
israel,karmiel,32.914671,35.292417,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
india,sirukalathur,12.9686628,80.0562864,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
japan,minato city,35.6580813,139.7515077,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,"NA",6,NA,NA,NA,NA,NA,NA,3,2,1,NA
kuwait,kuwait city,29.375859,47.9774052,Asia,Western Asia,Developing economies,72622,2.95E+11,0.808,0.11607,2063000,5,NA,NA,NA,1,NA,NA,NA,NA,1,3
brazil,macapa,-22.3233696,-41.9593241,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,239471,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,carrollton,32.9756415,-96.8899636,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,133351,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
aruba,noord,12.5765648,-70.03245,Americas,Caribbean,Developing economies,39455,4157176527,0.934,1.30343,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
argentina,maipa,-32.9584934,-68.7895478,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
south korea,yeongi-gun,36.592881,127.2923268,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,moline,41.5067003,-90.5151342,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,42231,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,murfreesboro,35.8456213,-86.39027,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,131947,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
peru,san isidro,-12.0952651,-77.0400804,Americas,South America,Developing economies,13772,4.33E+11,0.759,-0.598962,"NA",3,NA,NA,NA,2,NA,NA,NA,NA,1,NA
malaysia,labuan,5.2831456,115.230825,Asia,South-eastern Asia,Developing economies,30004,9.33E+11,0.804,0.971372,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
united states,quincy,42.2528772,-71.0022705,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,94166,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
israel,herzliya,32.162413,34.844675,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,decorah,43.3033056,-91.7857092,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8184,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
malaysia,kangar,6.440633,100.1983709,Asia,South-eastern Asia,Developing economies,30004,9.33E+11,0.804,0.971372,63869,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,aberdeen,46.9753708,-123.8157218,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,29089,3,NA,NA,NA,NA,NA,NA,NA,1,NA,2
united states,valparaiso,41.4730948,-87.0611412,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,33376,3,NA,NA,NA,NA,NA,NA,NA,2,NA,1
mexico,nuevo laredo,27.4779362,-99.549573,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,349550,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,panchkula,30.6942091,76.860565,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,guna,24.6323648,77.3001762,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
china,beijing,39.921469,116.443107,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,21516000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,scotch plains,40.6400404,-74.369018,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,24339,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
brazil,santaram,-2.4506291,-54.7009228,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,294447,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,san diego,32.7768726,-117.1549006,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,1406630,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1
united states,norristown,40.121497,-75.3399048,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,34510,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
united states,lake bluff,42.2791365,-87.8443151,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,5662,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,spotswood,40.391774,-74.3984834,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8456,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,cumming,34.2073196,-84.1401926,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6284,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,sikar,27.5766835,75.0611147,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,4.00E+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,ambala,30.3752011,76.782122,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,146787,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
turkey,konak,38.4144805,27.1441183,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,queensbury,43.353627,-73.6771662,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,27568,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
israel,haifa,32.7940463,34.989571,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,280339,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,new hampton,43.6236211,-71.6304407,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,branson,36.6436731,-93.2185144,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,24682,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,agra,27.1766701,78.0080745,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,1592000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,shirpur,21.3495981,74.8797127,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
united states,atlantic beach,30.3344077,-81.398696,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,13608,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
thailand,thalang district,8.0320027,98.3334626,Asia,South-eastern Asia,Developing economies,17917,1.24E+12,0.765,0.711704,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
british virgin islands,road town,18.4286115,-64.6184657,Americas,Caribbean,Developing economies,34200,5.00E+08,"NA","NA","NA",2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
hong kong,hong kong island,22.2418581,114.1528532,Asia,Eastern Asia,Developing economies,61500,4.56E+11,"NA","NA",1252100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,rolling hills estates,33.7877943,-118.3581284,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8226,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,odisha,20.9516658,85.0985236,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,montrose,38.4783198,-107.8761738,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,22912,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,suisun city,38.2382474,-122.040244,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,29639,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
united states,la porte,29.6657838,-95.0193728,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,35371,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,thrissur,10.5276416,76.2144349,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,ernakulam,9.9816358,76.2998842,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",4,1,NA,NA,NA,NA,1,NA,NA,NA,2
india,jodhpur,26.2389469,73.0243094,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,995000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
united states,tinton falls,40.3042773,-74.1004185,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,17789,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,dahlonega,34.5261465,-83.9843953,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6432,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
brazil,rio do sul,-27.2160932,-49.6435018,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,humble,29.9988312,-95.2621553,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,15997,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
brazil,papeete,-22.314459,-49.0586951,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,369368,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
argentina,sunchales,-30.9451714,-61.5607353,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,12655,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
japan,akita,39.7199668,140.1034795,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,315814,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,palm beach gardens,26.8396096,-80.1019144,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,55036,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,bellmore,40.6687125,-73.5270709,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,19994,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
india,amravati,20.9319821,77.7523039,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,734451,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
iran,bojnurd,37.4702063,57.3143348,Asia,Southern Asia,Developing economies,21011,1.70E+12,0.797,-0.158038,228931,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
uruguay,san jose department,-34.3394268,-56.7131598,Americas,South America,Developing economies,22728,78108553378,0.808,0.207869,36529,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
venezuela,merida,8.5698244,-71.1804988,Americas,South America,Developing economies,18102,5.44E+11,0.726,-0.655229,248410,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
india,mysuru,12.2958104,76.6393805,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,887000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
brazil,santa rosa,-27.8700173,-54.4797002,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,59281,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
turkey,belen heredia,36.4514163,36.1545404,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
brazil,piracicaba,-22.7355889,-47.6478542,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,394419,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
brazil,ipatinga,-19.4691377,-42.5489888,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,259324,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,cedar rapids,41.9778795,-91.6656232,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,131127,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,navi mumbai,19.0473216,73.0699046,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,honeoye falls,42.9522855,-77.5902759,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,5524,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,friendswood,29.5293998,-95.2010447,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,39839,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,st. louis county,38.6787496,-90.3230807,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,34549,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,huntington beach,33.6594835,-117.9988026,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,200652,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
mexico,mexico city,19.2464696,-99.1013498,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,9041395,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,redlands,34.0555693,-117.1825381,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,71554,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
mexico,tlalnepantla de baz,19.5345279,-99.1907364,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
china,yangzhou,32.394209,119.412939,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,539715,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1
united states,sheffield,34.7650887,-87.6986407,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8930,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,freehold township,40.2136754,-74.3000878,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,13703,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,newburgh,41.5034271,-74.0104178,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,28363,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,brenham,30.1668828,-96.3977442,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,16913,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
philippines,parasaque,14.4793095,121.0198229,Asia,South-eastern Asia,Developing economies,8340,8.77E+11,0.712,0.381087,665822,3,NA,NA,NA,NA,NA,NA,1,NA,NA,2
united states,provincetown,42.0584412,-70.1786425,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,graton,38.4363022,-122.8697158,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
south korea,seoul,37.5640907,126.9979403,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,10197604,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
israel,ra'anana,32.184781,34.871326,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
united states,mason,39.3600586,-84.309939,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,33235,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
bangladesh,khulna,22.845641,89.5403279,Asia,Southern Asia,Developing economies,3998,6.38E+11,0.614,-1.71442,664728,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
lebanon,chouf,33.6948309,35.5812837,Asia,Western Asia,Developing economies,12814,87286452031,0.73,0.0803256,"NA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
india,kollam,8.8932118,76.6141396,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,394163,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
